date,Elapsed Days,Time,Temp.,pH,ORP,DO,Transp.,E-NH4-N,E-NO3-N,E-NO2-N,SS,BOD,C-BOD,N-BOD,T-N,NH4-N,NOx-N,NO3-N,NO2-N
16-Jul,2,9:20,22,7.9,114,8.4,14.2,18,0,0,8,66,40,26,21,17,0,0,0
20-Jul,6,9:30,26,7.9,51,7.1,38,,,,3,54,11,43,32,29,0,0,0
27-Jul,13,9:30,26,7.4,174,5.9,37.5,5,20,3,9,45,16,29,19,6,10.2,0.3,9.9
30-Jul,16,9:45,25,7.5,77,6.6,65,0.3,20,3,5,,,,,,,,
7-Aug,24,9:45,30,7.5,96,6.3,77.5,0.5,7,3,3,10,6,4,11,0.3,6.8,0.1,6.7
7-Aug,24,10:10,30,7.5,87,5.7,62,,,,1,,,,,,,,
14-Aug,31,9:30,,,,,,,,,1,11,1.8,9.2,9.9,0.2,9,5.4,3.6
17-Aug,34,9:30,32,7.4,63,5.3,68.5,0,5,0.5,2,,,,8.5,0,7.8,7.4,0.4
18-Aug,35,16:30,,,,,,,,,2,,,,3.9,0,3.6,3.6,0
25-Aug,42,9:20,29,7.4,38,5,36,1.5,3.5,1,22,18,9.6,8.4,12,1.9,7.4,6.6,0.8
4-Sep,52,9:20,29,7.4,52,6.1,66,6,10,1.2,8,19,3.7,15.3,14,5.4,7.3,6.6,0.7
10-Sep,58,9:25,29,7.6,42,5.4,69,7,8,2.5,6,8,2.8,5.2,16,7.4,7,5.7,1.3
14-Sep,62,9:20,26,7.6,47,5.6,54,16,10,2,7,,,,,,,,
15-Sep,63,9:30,26,7.4,106,5.7,55,20,8,2.5,9,,,,,,,,
16-Sep,64,9:30,26,7.5,207,5.9,53,19,6,3,11,38,5.8,32.2,19,11,6.2,4.8,1.4
24-Sep,72,9:30,23,7.6,87,5.8,62,,,,6,40,5.5,34.5,24,17,4.5,2.7,1.8
29-Sep,77,9:30,,,,,75,17,8,3,7,20,4.7,15.3,,,,,
6-Oct,84,9:30,22,7.6,96,5.8,49.5,20,4,3,6,14,5.4,8.6,26,20,3.4,1.2,2.2
14-Oct,92,9:30,23,7.5,88,6.1,69,20,8,3,4,24,4.8,19.2,22,15,4.2,1.1,3.1
22-Oct,100,9:30,21,7.6,144,7.5,62.5,20,5,3,4,13,6.3,6.7,25,19,4,1.2,2.8
30-Oct,108,9:30,20,7.6,141,6.8,68,20,5,3,3,15,8.1,6.9,27,20,4.6,1.4,3.2
13-Nov,122,9:30,17,7.3,262,6.8,73.5,,,,4,8.4,6.1,2.3,23,11,7.5,4.2,3.3
25-Nov,134,9:30,20,7.2,194,6.3,60.5,,,,5,13,3.7,9.3,23,11,7.5,4.2,3.3
3-Dec,142,9:30,,7.3,246,,,0,4,0.2,4,,,,,,,,
8-Dec,147,9:30,18,7.4,,7.9,100,0,6,0.1,3,11,3.5,7.5,15,0.3,12.2,12,0.2
15-Dec,154,9:30,16,7.1,,8.8,98,,,,3,5.7,3.7,2,14,0,12.1,12,0.1
22-Dec,161,9:30,15,6.5,,10.1,50,0.5,4,0,5,12,4.2,7.8,30,1,25.1,25,0.1
2-Jan,172,9:30,15,6.7,,8.2,41,2,9,0,7.7,21,7,14,34,2.4,29.3,29,0.3
6-Jan,176,9:30,16,6.5,,7.9,25,,,,12,27,6.4,20.6,36,3.2,29.2,29,0.2
22-Jan,192,9:30,14,7.1,,8,76,0.1,4,0.1,,,,,,,,,
